school,year,applied,admitted,enrolled,admit_rate_pct,yield_pct
mit,2009-2010,15663,1676,1072,10.7,63.96
mit,2014-2015,18356,1447,1043,7.88,72.08
mit,2015-2016,18306,1519,1106,8.3,72.81
mit,2016-2017,19020,1511,1110,7.94,73.46
mit,2017-2018,20247,1452,1097,7.17,75.55
mit,2018-2019,21706,1464,,6.74,
mit,2019-2020,21312,1427,,6.7,
mit,2020-2021,20075,1457,,7.26,
mit,2021-2022,33240,1365,,4.11,
mit,2022-2023,33767,1337,,3.96,
mit,2023-2024,25055,1224,1038,4.89,84.8
mit,2024-2025,26185,1218,1046,4.65,85.88
northeastern,2020-2021,64459,13199,3128,20.48,23.7
northeastern,2023-2024,96620,5454,2738,5.64,50.2
northeastern,2024-2025,98397,5132,2756,5.22,53.7
northwestern,2018-2019,40425,3422,1931,8.47,56.43
northwestern,2023-2024,51767,3739,2109,7.22,56.41
northwestern,2024-2025,49460,3805,2104,7.69,55.3
nyu,2019-2020,79462,12873,5752,16.2,44.68
nyu,2023-2024,113578,10693,5818,9.41,54.41
nyu,2024-2025,110807,10232,5666,9.23,55.38
ohio_state,2020-2021,49087,33619,8679,68.49,25.82
ohio_state,2023-2024,70028,35588,8062,50.82,22.65
penn,2009-2010,22808,4040,2475,17.71,61.26
penn,2010-2011,26941,3841,2410,14.26,62.74
penn,2011-2012,31663,3935,2467,12.43,62.69
penn,2012-2013,31218,3935,2461,12.6,62.54
penn,2013-2014,31282,3830,2421,12.24,63.21
penn,2014-2015,35866,3718,2425,10.37,65.22
penn,2015-2016,37268,3787,2435,10.16,64.3
penn,2016-2017,38918,3674,2491,9.44,67.8
penn,2017-2018,40413,3757,2456,9.3,65.37
penn,2018-2019,44491,3740,2518,8.41,67.33
penn,2019-2020,44961,3446,2400,7.66,69.65
penn,2020-2021,42205,3789,2321,8.98,61.26
penn,2021-2022,56332,3304,2418,5.87,73.18
penn,2022-2023,54588,3549,2409,6.5,67.88
penn,2023-2024,59465,3489,2416,5.87,69.25
penn,2024-2025,65226,3523,2395,5.4,67.98
penn_state,2019-2020,71903,35302,8331,49.1,23.6
penn_state,2022-2023,85478,47199,9174,55.22,19.44
pittsburgh,2019-2020,32091,18180,4026,56.65,22.15
pittsburgh,2024-2025,60898,35372,4596,58.08,12.99
pittsburgh,2025-2026,64724,38490,5876,59.47,15.27
princeton,2010-2011,26247,2311,1312,8.8,56.77
princeton,2017-2018,31056,1990,1306,6.41,65.63
princeton,2023-2024,39644,1782,1366,4.5,76.66
princeton,2024-2025,40446,1868,1410,4.62,75.48
princeton,2025-2026,42303,1868,1408,4.42,75.37
rice,2020-2021,23455,2555,993,10.89,38.86
rice,2024-2025,32469,2597,1148,8.0,44.2
rutgers,2012-2013,46184,27813,7707,60.22,27.71
rutgers,2022-2023,41654,27612,7780,66.29,28.18
rutgers,2023-2024,43347,28326,7681,65.35,27.12
stanford,2008-2009,25299,2400,1703,9.49,70.96
stanford,2009-2010,30429,2426,1694,7.97,69.83
stanford,2010-2011,32022,2340,1674,7.31,71.54
stanford,2011-2012,34348,2437,1707,7.1,70.05
stanford,2012-2013,36632,2423,1765,6.61,72.84
stanford,2013-2014,38828,2208,1677,5.69,75.95
stanford,2014-2015,42167,2145,1678,5.09,78.23
stanford,2015-2016,42497,2140,1720,5.04,80.37
stanford,2016-2017,43997,2118,1739,4.81,82.11
stanford,2017-2018,44073,2085,1703,4.73,81.68
stanford,2018-2019,47452,2071,1697,4.36,81.94
stanford,2019-2020,47498,2062,1701,4.34,82.49
stanford,2020-2021,45227,2349,1607,5.19,68.41
stanford,2021-2022,55471,2190,1757,3.95,80.23
stanford,2022-2023,56378,2075,1736,3.68,83.66
