school,year,metric,value
stanford,2024-2025,freshman_retention_rate_pct,98.2
stanford,2022-2023,rate_6yr_pct,91.6
stanford,2022-2023,freshman_retention_rate_pct,98.3
stanford,2020-2021,freshman_retention_rate_pct,85.8
stanford,2019-2020,freshman_retention_rate_pct,98.8
stanford,2018-2019,rate_6yr_pct,92.61
stanford,2018-2019,freshman_retention_rate_pct,98.82
stanford,2017-2018,rate_6yr_pct,94.25
stanford,2017-2018,freshman_retention_rate_pct,98.0
stanford,2016-2017,rate_6yr_pct,94.0
stanford,2016-2017,freshman_retention_rate_pct,98.0
stanford,2014-2015,rate_6yr_pct,95.0
stanford,2014-2015,freshman_retention_rate_pct,98.45
stanford,2013-2014,rate_6yr_pct,96.0
stanford,2013-2014,freshman_retention_rate_pct,99.0
stanford,2012-2013,rate_6yr_pct,95.0
stanford,2012-2013,freshman_retention_rate_pct,98.0
stanford,2011-2012,rate_6yr_pct,96.0
stanford,2011-2012,freshman_retention_rate_pct,98.0
stanford,2010-2011,rate_6yr_pct,95.0
stanford,2010-2011,freshman_retention_rate_pct,98.0
stanford,2009-2010,rate_6yr_pct,95.0
stanford,2009-2010,freshman_retention_rate_pct,98.0
stanford,2008-2009,freshman_retention_rate_pct,98.3
swarthmore,2023-2024,rate_6yr_pct,90.0
tufts,2024-2025,rate_6yr_pct,93.0
tufts,2024-2025,freshman_retention_rate_pct,95.5
tufts,2018-2019,rate_6yr_pct,91.0
tufts,2018-2019,freshman_retention_rate_pct,96.0
uc_davis,2024-2025,rate_6yr_pct,81.0
uc_davis,2024-2025,freshman_retention_rate_pct,93.0
uc_davis,2020-2021,rate_6yr_pct,82.5
uc_davis,2020-2021,freshman_retention_rate_pct,93.0
uc_riverside,2019-2020,rate_6yr_pct,75.0
uc_riverside,2019-2020,freshman_retention_rate_pct,89.7
uc_san_diego,2024-2025,rate_6yr_pct,82.0
uc_san_diego,2024-2025,freshman_retention_rate_pct,94.0
uc_san_diego,2023-2024,rate_6yr_pct,83.0
uc_san_diego,2019-2020,rate_6yr_pct,84.8
uc_san_diego,2019-2020,freshman_retention_rate_pct,93.4
uchicago,2024-2025,rate_6yr_pct,91.7
uchicago,2024-2025,freshman_retention_rate_pct,99.0
uchicago,2023-2024,rate_6yr_pct,91.9
uchicago,2023-2024,freshman_retention_rate_pct,99.0
uchicago,2022-2023,rate_6yr_pct,92.0
uchicago,2022-2023,freshman_retention_rate_pct,99.0
uchicago,2021-2022,rate_6yr_pct,92.6
uchicago,2021-2022,freshman_retention_rate_pct,99.0
ucla,2023-2024,rate_6yr_pct,90.3
ucla,2020-2021,rate_6yr_pct,88.3
ucla,2020-2021,freshman_retention_rate_pct,95.57
unc,2024-2025,rate_6yr_pct,88.5
unc,2024-2025,freshman_retention_rate_pct,96.6
unc,2021-2022,rate_6yr_pct,87.8
unc,2021-2022,freshman_retention_rate_pct,96.5
usc,2024-2025,rate_6yr_pct,90.0
usc,2024-2025,freshman_retention_rate_pct,95.6
usc,2022-2023,rate_6yr_pct,91.9
usc,2022-2023,freshman_retention_rate_pct,96.54
wake_forest,2023-2024,rate_6yr_pct,87.0
wake_forest,2023-2024,freshman_retention_rate_pct,94.7
wake_forest,2018-2019,rate_6yr_pct,85.1
wake_forest,2018-2019,freshman_retention_rate_pct,95.47
washu,2023-2024,rate_6yr_pct,93.0
washu,2019-2020,rate_6yr_pct,95.0
washu,2019-2020,freshman_retention_rate_pct,97.0
yale,2025-2026,rate_6yr_pct,94.5
yale,2024-2025,rate_6yr_pct,95.2
yale,2024-2025,freshman_retention_rate_pct,98.8
yale,2017-2018,rate_6yr_pct,97.52
yale,2017-2018,freshman_retention_rate_pct,99.0
yale,2014-2015,rate_6yr_pct,98.0
yale,2014-2015,freshman_retention_rate_pct,98.0
yale,2010-2011,rate_6yr_pct,98.0
yale,2010-2011,freshman_retention_rate_pct,99.0
