school,year,metric,value
dartmouth,2010-2011,total_instructional_faculty,682
dartmouth,2003-2004,student_faculty_ratio,8.7
dartmouth,2003-2004,total_instructional_faculty,603
duke,2024-2025,student_faculty_ratio,5:1
duke,2024-2025,total_instructional_faculty,1954
duke,2021-2022,student_faculty_ratio,6:1
duke,2021-2022,total_instructional_faculty,1606
duke,2020-2021,student_faculty_ratio,6:1
duke,2020-2021,total_instructional_faculty,1575
emory,2024-2025,student_faculty_ratio,8:1
emory,2024-2025,total_instructional_faculty,1351
florida,2024-2025,student_faculty_ratio,16:1
florida,2024-2025,total_instructional_faculty,3587
florida,2023-2024,student_faculty_ratio,16:1
florida,2023-2024,total_instructional_faculty,3581
florida,2018-2019,student_faculty_ratio,18
florida,2018-2019,total_instructional_faculty,3238
georgia_tech,2024-2025,student_faculty_ratio,21:1
georgia_tech,2024-2025,total_instructional_faculty,1443
georgia_tech,2021-2022,student_faculty_ratio,21:1
georgia_tech,2021-2022,total_instructional_faculty,1215
georgia_tech,2020-2021,student_faculty_ratio,18:1
georgia_tech,2020-2021,total_instructional_faculty,1253
harvard,2024-2025,student_faculty_ratio,7:1
harvard,2024-2025,total_instructional_faculty,2162
harvard,2023-2024,student_faculty_ratio,7:1
harvard,2023-2024,total_instructional_faculty,2162
harvard,2022-2023,student_faculty_ratio,7:1
harvard,2022-2023,total_instructional_faculty,2139
harvard,2017-2018,student_faculty_ratio,6:1
harvard,2017-2018,total_instructional_faculty,2023
harvard,2010-2011,student_faculty_ratio,6.9:1
harvard,2010-2011,total_instructional_faculty,2189
harvard,2007-2008,student_faculty_ratio,6.8:1
harvard,2007-2008,total_instructional_faculty,2265
iowa,2023-2024,student_faculty_ratio,15:1
iowa,2023-2024,total_instructional_faculty,1568
iowa,2019-2020,student_faculty_ratio,15:1
iowa,2019-2020,total_instructional_faculty,1668
lehigh,2025-2026,student_faculty_ratio,11:1
lehigh,2025-2026,total_instructional_faculty,766
lehigh,2024-2025,student_faculty_ratio,10:1
lehigh,2024-2025,total_instructional_faculty,764
lehigh,2019-2020,student_faculty_ratio,9:1
lehigh,2019-2020,total_instructional_faculty,715
michigan,2020-2021,student_faculty_ratio,14:1
michigan,2020-2021,total_instructional_faculty,3571
minnesota,2024-2025,student_faculty_ratio,17:1
minnesota,2024-2025,total_instructional_faculty,3661
minnesota,2023-2024,student_faculty_ratio,16:1
minnesota,2023-2024,total_instructional_faculty,3567
minnesota,2018-2019,student_faculty_ratio,17:1
minnesota,2018-2019,total_instructional_faculty,3785
mit,2024-2025,student_faculty_ratio,3:1
mit,2023-2024,student_faculty_ratio,3:1
mit,2022-2023,student_faculty_ratio,3:1
mit,2021-2022,student_faculty_ratio,3:1
mit,2020-2021,student_faculty_ratio,3:1
mit,2019-2020,student_faculty_ratio,3:1
mit,2018-2019,student_faculty_ratio,3:1
mit,2017-2018,student_faculty_ratio,3:1
mit,2017-2018,total_instructional_faculty,1576
mit,2016-2017,student_faculty_ratio,3:1
mit,2016-2017,total_instructional_faculty,1538
mit,2015-2016,student_faculty_ratio,3:1
mit,2015-2016,total_instructional_faculty,1544
mit,2014-2015,student_faculty_ratio,8:1
mit,2014-2015,total_instructional_faculty,1504
mit,2009-2010,student_faculty_ratio,6.8:1
mit,2009-2010,total_instructional_faculty,1778
mit,2004-2005,student_faculty_ratio,7:1
mit,2004-2005,total_instructional_faculty,1669
mit,2003-2004,student_faculty_ratio,6:1
northeastern,2024-2025,student_faculty_ratio,16:1
northeastern,2024-2025,total_instructional_faculty,2682
northeastern,2023-2024,student_faculty_ratio,15:1
northeastern,2023-2024,total_instructional_faculty,2564
northeastern,2020-2021,student_faculty_ratio,14:1
northeastern,2020-2021,total_instructional_faculty,1920
northwestern,2024-2025,student_faculty_ratio,6:1
northwestern,2024-2025,total_instructional_faculty,1807
northwestern,2023-2024,student_faculty_ratio,6:1
northwestern,2023-2024,total_instructional_faculty,1771
northwestern,2018-2019,student_faculty_ratio,6:1
northwestern,2018-2019,total_instructional_faculty,1772
nyu,2024-2025,student_faculty_ratio,8:1
nyu,2024-2025,total_instructional_faculty,6690
